STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,s_adj,Seasonal adjustment,indic,Indicator,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:EI_LMHR_M(1.0),Unemployment rate (%) - monthly data,M,Monthly,PC_ACT,Percentage of population in the labour force,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT,Unemployment according to ILO definition - total,ES,Spain,2018-01,,16.8,,,,,
dataflow,ESTAT:EI_LMHR_M(1.0),Unemployment rate (%) - monthly data,M,Monthly,PC_ACT,Percentage of population in the labour force,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT,Unemployment according to ILO definition - total,ES,Spain,2018-02,,16.9,,,,,
dataflow,ESTAT:EI_LMHR_M(1.0),Unemployment rate (%) - monthly data,M,Monthly,PC_ACT,Percentage of population in the labour force,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT,Unemployment according to ILO definition - total,ES,Spain,2018-03,,16.5,,,,,
dataflow,ESTAT:EI_LMHR_M(1.0),Unemployment rate (%) - monthly data,M,Monthly,PC_ACT,Percentage of population in the labour force,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT,Unemployment according to ILO definition - total,ES,Spain,2018-04,,15.9,,,,,
dataflow,ESTAT:EI_LMHR_M(1.0),Unemployment rate (%) - monthly data,M,Monthly,PC_ACT,Percentage of population in the labour force,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT,Unemployment according to ILO definition - total,ES,Spain,2018-05,,15.3,,,,,
dataflow,ESTAT:EI_LMHR_M(1.0),Unemployment rate (%) - monthly data,M,Monthly,PC_ACT,Percentage of population in the labour force,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT,Unemployment according to ILO definition - total,ES,Spain,2018-06,,14.7,,,,,
dataflow,ESTAT:EI_LMHR_M(1.0),Unemployment rate (%) - monthly data,M,Monthly,PC_ACT,Percentage of population in the labour force,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT,Unemployment according to ILO definition - total,ES,Spain,2018-07,,14.5,,,,,
dataflow,ESTAT:EI_LMHR_M(1.0),Unemployment rate (%) - monthly data,M,Monthly,PC_ACT,Percentage of population in the labour force,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT,Unemployment according to ILO definition - total,ES,Spain,2018-08,,14.6,,,,,
dataflow,ESTAT:EI_LMHR_M(1.0),Unemployment rate (%) - monthly data,M,Monthly,PC_ACT,Percentage of population in the labour force,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT,Unemployment according to ILO definition - total,ES,Spain,2018-09,,14.6,,,,,
dataflow,ESTAT:EI_LMHR_M(1.0),Unemployment rate (%) - monthly data,M,Monthly,PC_ACT,Percentage of population in the labour force,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT,Unemployment according to ILO definition - total,ES,Spain,2018-10,,14.6,,,,,
dataflow,ESTAT:EI_LMHR_M(1.0),Unemployment rate (%) - monthly data,M,Monthly,PC_ACT,Percentage of population in the labour force,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT,Unemployment according to ILO definition - total,ES,Spain,2018-11,,14.5,,,,,
dataflow,ESTAT:EI_LMHR_M(1.0),Unemployment rate (%) - monthly data,M,Monthly,PC_ACT,Percentage of population in the labour force,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT,Unemployment according to ILO definition - total,ES,Spain,2018-12,,14.3,,,,,
dataflow,ESTAT:EI_LMHR_M(1.0),Unemployment rate (%) - monthly data,M,Monthly,PC_ACT,Percentage of population in the labour force,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT,Unemployment according to ILO definition - total,ES,Spain,2019-01,,14.7,,,,,
dataflow,ESTAT:EI_LMHR_M(1.0),Unemployment rate (%) - monthly data,M,Monthly,PC_ACT,Percentage of population in the labour force,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT,Unemployment according to ILO definition - total,ES,Spain,2019-02,,14.8,,,,,
dataflow,ESTAT:EI_LMHR_M(1.0),Unemployment rate (%) - monthly data,M,Monthly,PC_ACT,Percentage of population in the labour force,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT,Unemployment according to ILO definition - total,ES,Spain,2019-03,,14.7,,,,,
dataflow,ESTAT:EI_LMHR_M(1.0),Unemployment rate (%) - monthly data,M,Monthly,PC_ACT,Percentage of population in the labour force,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT,Unemployment according to ILO definition - total,ES,Spain,2019-04,,14.3,,,,,
dataflow,ESTAT:EI_LMHR_M(1.0),Unemployment rate (%) - monthly data,M,Monthly,PC_ACT,Percentage of population in the labour force,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT,Unemployment according to ILO definition - total,ES,Spain,2019-05,,14.0,,,,,
dataflow,ESTAT:EI_LMHR_M(1.0),Unemployment rate (%) - monthly data,M,Monthly,PC_ACT,Percentage of population in the labour force,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT,Unemployment according to ILO definition - total,ES,Spain,2019-06,,13.8,,,,,
dataflow,ESTAT:EI_LMHR_M(1.0),Unemployment rate (%) - monthly data,M,Monthly,PC_ACT,Percentage of population in the labour force,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT,Unemployment according to ILO definition - total,ES,Spain,2019-07,,13.8,,,,,
